"","X","Stationidentifier","Stationnumber","Observationtime","Stationlatitude","Stationlongitude","Stationelevation","Showalterindex","Liftedindex","LIFTcomputedusingvirtualtemperature","SWEATindex","Kindex","Crosstotalsindex","Verticaltotalsindex","Totalstotalsindex","ConvectiveAvailablePotentialEnergy","CAPEusingvirtualtemperature","ConvectiveInhibition","CINSusingvirtualtemperature","EquilibrumLevel","EquilibrumLevelusingvirtualtemperature","LevelofFreeConvection","LFCTusingvirtualtemperature","BulkRichardsonNumber","BulkRichardsonNumberusingCAPV","Temp.K.oftheLiftedCondensationLevel","Pres.hPa.oftheLiftedCondensationLevel","Meanmixedlayerpotentialtemperature","Meanmixedlayermixingratio","X1000hPato500hPathickness","Precipitablewater.mm.forentiresounding","TS"
"1",1,"YBBN",94578,"100101/0000",-27.38,153.13,5,6.39,1.94,1.55,170.21,-6.3,16.3,19.1,35.4,18.69,39.69,-1.64,0,825.03,810.8,897.82,916.13,7.14,15.18,290.53,916.13,297.9,13.83,5729,38.21,0
"2",1,"YBBN",94578,"100102/0000",-27.38,153.13,5,1.46,0.13,-0.08,194.82,27.6,20.4,22.7,43.1,0.4,3.63,-225.75,-32.18,509.22,477.13,522.11,807.14,0.09,0.78,289.88,900.26,298.72,13.5,5739,42.36,0
"3",1,"YBBN",94578,"100103/0000",-27.38,153.13,5,0.11,-2.72,-3.17,218.42,35.5,20.6,23.5,44.1,828.68,984.69,-0.5,-0.01,252.08,251.33,911.17,913.19,126.12,149.87,293.24,913.2,300.97,16.52,5765,52.81,0
"4",1,"YBBN",94578,"100104/0000",-27.38,153.13,5,2.81,1.22,0.69,203.81,26.6,19.8,20.7,40.5,24.06,43.35,-3.74,-1.03,429.97,429.77,880.95,909.63,2.17,3.9,290.2,915.34,297.63,13.55,5722,42.65,0
"5",1,"YBBN",94578,"100105/0000",-27.38,153.13,5,2.81,2.45,1.96,200.4,20.7,19.7,20.5,40.2,6.08,14.33,-1.74,-0.43,440.4,439.91,911.4,918.81,0.48,1.12,290.28,930.11,296.36,13.4,5720,39.38,0
"6",1,"YBBN",94578,"100106/0000",-27.38,153.13,5,-2.3,-2.74,-3.45,206.58,25.6,24,24.3,48.3,234.06,359.6,-0.15,-0.09,384.17,382.42,954.03,955.08,44.91,69,293.34,961.33,296.68,15.76,5724,44.05,0
"7",1,"YBBN",94578,"100107/0000",-27.38,153.13,5,7.61,-2.73,-3.31,75.38,25.5,12.7,23.7,36.4,586,751.86,-5.48,-1.55,364.82,364,910.56,931.86,166.3,213.38,292.91,946.9,297.52,15.58,5709,41.02,0
"8",1,"YBBN",94578,"100108/0000",-27.38,153.13,5,-0.48,-2.06,-2.24,190.21,9.7,23.3,24.1,47.4,321.23,420.09,-16.87,-14.64,317.51,317.3,891.16,894.5,46.43,60.72,290.43,928.96,296.62,13.6,5689,40.95,0
"9",1,"YBBN",94578,"100109/0000",-27.38,153.13,5,2.59,-2.48,-3.15,159.62,9.5,19.9,23.7,43.6,638.13,837.5,-10.41,-1.8,262.14,261.83,878.17,912.48,1205.42,1582.02,290.94,926.11,297.41,14.07,5691,30.6,0
"10",1,"YBBN",94578,"100110/0000",-27.38,153.13,5,8.59,1.7,1.24,86.21,-0.5,11.9,22.9,34.8,2.99,7.97,-545.66,-362.21,395.57,394.13,424.26,437.34,0.2,0.54,287.93,889.76,297.72,12.05,5726,22.46,0
