#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2010-03-04 00:00:00+00:00 2010-03-05 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2010-03-04 00:00,153.1292,-27.3917,77.00,64.40,65.12,120.00,11.00,M,29.91,M,6.21,M,FEW,BKN,M,M,2500.00,4200.00,M,M,M,YBBN 040000Z 12011KT 9999 FEW025 BKN042 25/18 Q1013 NOSIG
YBBN,2010-03-04 00:30,153.1292,-27.3917,77.00,64.40,65.12,120.00,11.00,M,29.91,M,6.21,M,FEW,BKN,M,M,2500.00,4200.00,M,M,M,YBBN 040030Z 12011KT 9999 FEW025 BKN042 25/18 Q1013 NOSIG
YBBN,2010-03-04 01:00,153.1292,-27.3917,78.80,64.40,61.36,120.00,10.00,M,29.88,M,6.21,M,FEW,BKN,M,M,2500.00,4600.00,M,M,M,YBBN 040100Z 12010KT 9999 FEW025 BKN046 26/18 Q1012 NOSIG
YBBN,2010-03-04 01:30,153.1292,-27.3917,78.80,62.60,57.60,130.00,9.00,M,29.88,M,6.21,M,FEW,BKN,M,M,2500.00,4800.00,M,M,M,YBBN 040130Z 13009KT 9999 FEW025 BKN048 26/17 Q1012 NOSIG
YBBN,2010-03-04 02:00,153.1292,-27.3917,78.80,64.40,61.36,120.00,12.00,M,29.88,M,6.21,M,FEW,BKN,M,M,2500.00,4800.00,M,M,M,YBBN 040200Z 12012KT 9999 FEW025 BKN048 26/18 Q1012 NOSIG
YBBN,2010-03-04 02:30,153.1292,-27.3917,78.80,64.40,61.36,120.00,11.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,4800.00,M,M,M,YBBN 040230Z 12011KT 9999 FEW025 BKN048 26/18 Q1011 NOSIG
YBBN,2010-03-04 03:00,153.1292,-27.3917,78.80,64.40,61.36,130.00,11.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,4800.00,M,M,M,YBBN 040300Z 13011KT 9999 FEW025 BKN048 26/18 Q1011 NOSIG
YBBN,2010-03-04 03:30,153.1292,-27.3917,78.80,64.40,61.36,130.00,12.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,5000.00,M,M,M,YBBN 040330Z 13012KT 9999 FEW025 BKN050 26/18 Q1011 NOSIG
YBBN,2010-03-04 04:00,153.1292,-27.3917,78.80,66.20,65.33,110.00,10.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,5200.00,M,M,M,YBBN 040400Z 11010KT 9999 FEW025 BKN052 26/19 Q1011 NOSIG
YBBN,2010-03-04 04:30,153.1292,-27.3917,78.80,64.40,61.36,120.00,11.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,5200.00,M,M,M,YBBN 040430Z 12011KT 9999 FEW025 BKN052 26/18 Q1011 NOSIG
YBBN,2010-03-04 05:00,153.1292,-27.3917,78.80,64.40,61.36,120.00,11.00,M,29.83,M,6.21,M,FEW,SCT,BKN,M,2500.00,5600.00,7200.00,M,M,YBBN 040500Z 12011KT 9999 FEW025 SCT056 BKN072 26/18 Q1010 NOSIG
YBBN,2010-03-04 05:30,153.1292,-27.3917,78.80,64.40,61.36,130.00,11.00,M,29.83,M,6.21,M,FEW,SCT,BKN,M,2500.00,5600.00,7200.00,M,M,YBBN 040530Z 13011KT 9999 FEW025 SCT056 BKN072 26/18 Q1010 NOSIG
YBBN,2010-03-04 06:00,153.1292,-27.3917,77.00,64.40,65.12,130.00,11.00,M,29.85,M,6.21,M,FEW,BKN,BKN,M,2500.00,5500.00,7200.00,M,M,YBBN 040600Z 13011KT 9999 FEW025 BKN055 BKN072 25/18 Q1011 NOSIG
YBBN,2010-03-04 06:30,153.1292,-27.3917,77.00,64.40,65.12,130.00,10.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,5600.00,M,M,M,YBBN 040630Z 13010KT 9999 FEW025 BKN056 25/18 Q1011 NOSIG
YBBN,2010-03-04 07:00,153.1292,-27.3917,77.00,64.40,65.12,130.00,9.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,5900.00,M,M,M,YBBN 040700Z 13009KT 9999 FEW025 BKN059 25/18 Q1011 NOSIG
YBBN,2010-03-04 07:30,153.1292,-27.3917,77.00,64.40,65.12,130.00,10.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,5700.00,M,M,M,YBBN 040730Z 13010KT 9999 FEW025 BKN057 25/18 Q1011 NOSIG
YBBN,2010-03-04 08:00,153.1292,-27.3917,77.00,64.40,65.12,120.00,9.00,M,29.85,M,6.21,M,FEW,BKN,M,M,3000.00,4700.00,M,M,M,YBBN 040800Z 12009KT 9999 FEW030 BKN047 25/18 Q1011 NOSIG
YBBN,2010-03-04 08:30,153.1292,-27.3917,77.00,66.20,69.33,130.00,8.00,M,29.85,M,6.21,M,FEW,BKN,M,M,2000.00,4200.00,M,M,M,YBBN 040830Z 13008KT 9999 FEW020 BKN042 25/19 Q1011 NOSIG
YBBN,2010-03-04 23:30,153.1292,-27.3917,78.80,69.80,73.95,90.00,10.00,M,29.85,M,6.21,M,FEW,OVC,M,M,2500.00,4500.00,M,M,M,YBBN 042330Z 09010KT 9999 FEW025 OVC045 26/21 Q1011 NOSIG
