#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2011-12-30 00:00:00+00:00 2011-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
YBBN,2011-12-30 00:00,153.1292,-27.3917,77.00,57.20,50.43,170.00,8.00,M,29.94,M,6.21,M,FEW,SCT,BKN,M,3500.00,17000.00,25000.00,M,M,YBBN 300000Z 17008KT 9999 FEW035 SCT170 BKN250 25/14 Q1014 RMK VIRGA
YBBN,2011-12-30 00:30,153.1292,-27.3917,77.00,57.20,50.43,170.00,7.00,M,29.91,M,6.21,M,FEW,SCT,BKN,M,3700.00,19000.00,25000.00,M,M,YBBN 300030Z 17007KT 9999 FEW037 SCT190 BKN250 25/14 Q1013
YBBN,2011-12-30 01:00,153.1292,-27.3917,78.80,59.00,50.69,190.00,6.00,M,29.91,M,6.21,M,FEW,BKN,M,M,3800.00,25000.00,M,M,M,YBBN 300100Z 19006KT 9999 FEW038 BKN250 26/15 Q1013 RMK DIST SH E/SE
YBBN,2011-12-30 01:30,153.1292,-27.3917,78.80,57.20,47.52,100.00,6.00,M,29.91,M,6.21,M,SCT,BKN,M,M,3900.00,25000.00,M,M,M,YBBN 300130Z 10006KT 9999 SCT039 BKN250 26/14 Q1013 RMK DIST SH NE
YBBN,2011-12-30 02:00,153.1292,-27.3917,78.80,60.80,54.05,100.00,11.00,M,29.91,M,6.21,M,SCT,SCT,BKN,M,4000.00,18000.00,25000.00,M,M,YBBN 300200Z 10011KT 9999 SCT040 SCT180 BKN250 26/16 Q1013 RMK DIST SH NE
YBBN,2011-12-30 02:30,153.1292,-27.3917,77.00,62.60,61.13,110.00,11.00,M,29.91,M,6.21,M,SCT,SCT,BKN,M,4000.00,5800.00,25000.00,M,M,YBBN 300230Z 11011KT 9999 SCT040 SCT058 BKN250 25/17 Q1013 RMK DIST SH EAST
YBBN,2011-12-30 03:00,153.1292,-27.3917,77.00,60.80,57.36,110.00,12.00,M,29.91,M,6.21,M,SCT,SCT,BKN,FEW,4000.00,5800.00,25000.00,4200.00,M,YBBN 300300Z 11012KT 9999 SCT040 SCT058 BKN250 FEW042TCU 25/16 Q1013 RMK DIST SH SE
YBBN,2011-12-30 03:30,153.1292,-27.3917,77.00,66.20,69.33,110.00,13.00,M,29.91,M,6.21,M,FEW,SCT,BKN,FEW,2500.00,3800.00,5800.00,4000.00,VCSH,YBBN 300330Z 11013KT 9999 VCSH FEW025 SCT038 BKN058 FEW040TCU 25/19 Q1013 RMK SH SW
YBBN,2011-12-30 03:51,153.1292,-27.3917,77.00,66.20,69.33,110.00,15.00,M,29.91,M,6.21,25.00,FEW,SCT,BKN,FEW,2500.00,3800.00,6700.00,4000.00,M,YBBN 300351Z 11015G25KT 9999 FEW025 SCT038 BKN067 FEW040TCU 25/19 Q1013 RMK HZ/DIST SH SW NOSIG
YBBN,2011-12-30 04:00,153.1292,-27.3917,78.80,66.20,65.33,110.00,14.00,M,29.91,M,6.21,25.00,FEW,SCT,BKN,FEW,2500.00,3800.00,9200.00,4000.00,M,YBBN 300400Z 11014G25KT 9999 FEW025 SCT038 BKN092 FEW040TCU 26/19 Q1013 RMK HZ/DIST SH SE/SW
YBBN,2011-12-30 04:34,153.1292,-27.3917,77.00,62.60,61.13,110.00,15.00,M,29.91,M,6.21,25.00,FEW,SCT,BKN,FEW,2400.00,3500.00,9000.00,3800.00,-SHRA VCSH,YBBN 300434Z 11015G25KT 9999 -SHRA VCSH FEW024 SCT035 BKN090 FEW038TCU 25/17 Q1013 NOSIG
YBBN,2011-12-30 05:30,153.1292,-27.3917,73.40,62.60,68.94,130.00,15.00,M,29.91,M,4.97,26.00,FEW,BKN,FEW,M,1700.00,6200.00,3300.00,M,-SHRA VCSH,YBBN 300530Z 13015G26KT 8000 -SHRA VCSH FEW017 BKN062 FEW033TCU 23/17 Q1013
YBBN,2011-12-30 06:30,153.1292,-27.3917,75.20,62.60,64.91,130.00,13.00,M,29.91,M,6.21,M,FEW,BKN,FEW,M,1300.00,6000.00,3000.00,M,-SHRA VCSH,YBBN 300630Z 13013KT 9999 -SHRA VCSH FEW013 BKN060 FEW030TCU 24/17 Q1013 RMK DIST CB NW
YBBN,2011-12-30 06:44,153.1292,-27.3917,73.40,64.40,73.44,120.00,14.00,M,29.91,M,3.73,25.00,FEW,BKN,FEW,M,1200.00,6000.00,3000.00,M,SHRA VCSH,YBBN 300644Z 12014G25KT 6000 SHRA VCSH FEW012 BKN060 FEW030TCU 23/18 Q1013 RMK SH E/NE FM0700 12014KT 9999 -SHRA SCT030 BKN060 INTER 0644/0944 3000 SHRA BKN012
YBBN,2011-12-30 07:00,153.1292,-27.3917,71.60,64.40,78.04,130.00,14.00,M,29.94,M,3.73,M,FEW,BKN,FEW,M,1200.00,6300.00,2800.00,M,-SHRA VCSH,YBBN 300700Z 13014KT 6000 -SHRA VCSH FEW012 BKN063 FEW028TCU 22/18 Q1014 RMK SH SE/NE FM0715 12014KT 9999 -SHRA SCT030 BKN060 INTER 0700/1000 3000 SHRA BKN012
YBBN,2011-12-30 08:30,153.1292,-27.3917,69.80,62.60,77.90,140.00,11.00,M,29.97,M,6.21,M,FEW,SCT,BKN,M,1500.00,4800.00,6500.00,M,VCSH,YBBN 300830Z 14011KT 9999 VCSH FEW015 SCT048 BKN065 21/17 Q1015
YBBN,2011-12-30 09:30,153.1292,-27.3917,69.80,64.40,82.98,110.00,10.00,M,29.97,M,6.21,M,FEW,SCT,BKN,M,1500.00,4000.00,7500.00,M,VCSH,YBBN 300930Z 11010KT 9999 VCSH FEW015 SCT040 BKN075 21/18 Q1015
YBBN,2011-12-30 10:30,153.1292,-27.3917,69.80,64.40,82.98,170.00,7.00,M,30.00,M,6.21,M,FEW,BKN,M,M,1700.00,7500.00,M,M,M,YBBN 301030Z 17007KT 9999 FEW017 BKN075 21/18 Q1016
YBBN,2011-12-30 11:00,153.1292,-27.3917,69.80,64.40,82.98,170.00,8.00,M,30.03,M,6.21,M,FEW,SCT,BKN,M,2500.00,3500.00,9000.00,M,M,YBBN 301100Z 17008KT 9999 FEW025 SCT035 BKN090 21/18 Q1017
