
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1016.0      5   21.8   12.8     57   9.22    260      1  293.6  320.3  295.2
 1014.0     22   21.4    8.4     43   6.86    268      1  293.4  313.4  294.6
 1009.0     63   20.0   11.0     56   8.23    288      3  292.4  316.1  293.9
 1000.0    138   19.2   12.2     64   9.00    325      5  292.4  318.2  293.9
  990.0    224   18.4   12.4     68   9.21    327      5  292.4  318.9  294.0
  925.0    801   13.0   10.2     83   8.51    340      7  292.6  317.1  294.1
  887.0   1153   10.2    8.1     87   7.69    316      9  293.2  315.5  294.6
  871.0   1304    9.0    6.7     85   7.11    305     10  293.5  314.2  294.8
  850.0   1506    7.4    4.8     84   6.38    295     14  293.9  312.6  295.0
  846.0   1545    7.2    4.3     82   6.19    293     14  294.1  312.2  295.2
  836.0   1643    8.0    0.0     57   4.60    290     15  295.9  309.7  296.7
  820.0   1802    7.4   -7.6     34   2.64    283     17  296.9  305.1  297.4
  793.0   2076    5.0   -6.0     45   3.09    272     19  297.2  306.8  297.8
  740.0   2636    2.4  -14.7     27   1.67    250     24  300.4  305.7  300.6
  708.0   2994    0.8  -20.2     19   1.09    246     22  302.4  306.0  302.6
  700.0   3085    0.0  -20.0     21   1.12    245     22  302.4  306.2  302.7
  686.0   3247   -1.1  -16.1     31   1.60    244     21  303.0  308.2  303.3
  647.0   3711   -4.7  -23.7     21   0.88    240     19  304.0  307.0  304.2
  642.0   3772   -5.2  -22.3     25   1.00    240     19  304.1  307.5  304.3
  629.0   3933   -6.5  -18.5     38   1.42    244     19  304.4  309.1  304.7
  547.0   5002  -15.3  -24.2     46   0.99    275     19  306.4  309.8  306.6
  530.0   5244  -17.3  -25.6     49   0.91    295     15  306.8  309.9  306.9
  523.0   5345  -18.1  -26.1     50   0.87    301     16  306.9  309.9  307.1
  518.0   5417  -18.7  -26.3     51   0.87    305     16  307.0  310.0  307.2
  500.0   5680  -21.1  -27.1     58   0.83    305     17  307.2  310.1  307.4
  482.0   5949  -23.8  -28.8     63   0.74    310     19  307.2  309.8  307.4
  481.0   5964  -23.9  -28.9     63   0.73    309     19  307.2  309.8  307.4
  467.0   6179  -25.7  -32.7     52   0.53    302     23  307.6  309.5  307.7
  464.0   6226  -25.5  -40.5     23   0.24    300     24  308.4  309.3  308.4
  455.0   6365  -26.8  -40.6     26   0.24    295     27  308.5  309.4  308.6
  400.0   7280  -35.3  -41.3     54   0.26    310     27  309.0  310.0  309.1
  394.0   7385  -36.3  -41.0     62   0.27    310     28  309.0  310.0  309.1
  393.0   7402  -36.5  -41.0     63   0.27    309     28  309.0  310.0  309.1
  373.0   7761  -39.3  -49.3     34   0.12    297     30  310.0  310.4  310.0
  365.0   7909  -40.1  -54.1     21   0.07    292     31  310.8  311.1  310.8
  353.0   8136  -41.5  -55.5     20   0.06    284     32  311.9  312.2  311.9
  332.0   8549  -42.6  -66.5      6   0.02    270     34  315.9  316.0  316.0
  308.0   9054  -43.9  -79.9      1   0.00    265     39  320.9  321.0  320.9
  300.0   9230  -43.9  -79.9      1   0.00    260     43  323.4  323.4  323.4
  273.0   9866  -43.9  -79.9      1   0.00    255     49  332.2  332.2  332.2
  251.0  10433  -43.9  -79.9      1   0.00    255     45  340.3  340.3  340.3
  250.0  10460  -43.9  -79.9      1   0.00    255     45  340.7  340.7  340.7
  238.0  10791  -42.7  -78.7      1   0.00    249     48  347.3  347.3  347.3
  231.0  10993  -43.8  -79.8      1   0.00    245     50  348.6  348.6  348.6
  229.0  11051  -44.1  -80.1      1   0.00    245     50  349.0  349.0  349.0
  205.0  11794  -44.1  -80.1      1   0.00    245     51  360.2  360.2  360.2
  200.0  11960  -44.9  -79.9      1   0.00    245     51  361.5  361.5  361.5
  185.0  12475  -48.0  -82.3      1   0.00    250     49  364.7  364.7  364.7
  177.0  12767  -49.7  -83.7      1   0.00    255     53  366.5  366.5  366.5
  162.0  13342  -51.8  -84.5      1   0.00    265     61  372.4  372.4  372.4
  153.0  13713  -53.1  -85.1      1   0.00    261     65  376.2  376.2  376.2
  150.0  13840  -53.9  -86.9      1   0.00    260     66  377.0  377.0  377.0
  144.0  14099  -55.1  -87.6      1   0.00    255     67  379.4  379.4  379.4
  138.0  14370  -56.3  -88.3      1   0.00    250     64  381.9  381.9  381.9
  126.0  14947  -58.9  -89.9      1   0.00    255     55  387.2  387.2  387.2
  124.0  15048  -57.5  -89.5      1   0.00    256     53  391.5  391.5  391.5
  117.0  15413  -59.9  -90.9      1   0.00    259     48  393.7  393.7  393.7
  114.0  15575  -61.3  -89.6      1   0.00    260     45  394.0  394.0  394.0
  113.0  15630  -61.3  -89.2      1   0.00    260     44  394.9  394.9  394.9
  108.0  15910  -61.5  -87.0      2   0.00    251     45  399.7  399.8  399.8
  106.0  16027  -60.1  -86.1      2   0.00    247     46  404.5  404.6  404.5
  100.0  16390  -60.7  -86.3      2   0.00    235     48  410.2  410.2  410.2
   96.6  16605  -60.3  -86.4      2   0.00    232     38  415.0  415.1  415.0
   95.0  16709  -60.9  -86.5      2   0.00    230     33  415.8  415.8  415.8
   92.0  16908  -62.1  -86.6      2   0.00    245     26  417.3  417.3  417.3
   89.5  17078  -63.1  -86.7      3   0.00    254     27  418.6  418.6  418.6
   88.0  17182  -63.0  -86.8      3   0.00    260     28  420.8  420.8  420.8
   80.5  17731  -62.5  -87.1      2   0.00    227     25  432.7  432.7  432.7
   80.0  17770  -62.7  -87.1      2   0.00    225     25  433.1  433.1  433.1
   76.0  18085  -64.3  -87.3      3   0.00    245     21  436.1  436.1  436.1
   75.5  18125  -64.5  -87.4      3   0.00    241     20  436.5  436.5  436.5
   74.8  18182  -62.9  -87.4      2   0.00    235     17  441.0  441.1  441.0
   73.0  18332  -63.2  -87.5      2   0.00    220     12  443.5  443.5  443.5
   70.0  18590  -63.7  -87.6      3   0.00    255      8  447.8  447.8  447.8
   68.0  18768  -63.7  -87.8      2   0.00    260     10  451.5  451.5  451.5
   67.4  18822  -63.7  -87.8      2   0.00    248     10  452.6  452.6  452.6
   66.0  18951  -63.3  -87.9      2   0.00    220     10  456.2  456.2  456.2
   63.8  19160  -62.7  -88.0      2   0.00    151     10  462.0  462.0  462.0
   63.0  19238  -61.4  -88.0      2   0.00    125     10  466.5  466.5  466.5
   62.8  19258  -61.1  -88.0      2   0.00    121     10  467.6  467.6  467.6
   61.0  19438  -61.5  -88.2      2   0.00     80     10  470.6  470.6  470.6
   57.0  19857  -62.4  -88.4      2   0.00    150      2  477.8  477.8  477.8
   55.8  19989  -62.7  -88.5      2   0.00    164      5  480.0  480.0  480.0
   54.0  20192  -61.4  -88.6      2   0.00    185     10  487.4  487.4  487.4
   53.8  20215  -61.3  -88.6      2   0.00    183     11  488.3  488.3  488.3
   51.0  20547  -61.0  -88.8      1   0.00    160     19  496.5  496.5  496.5
   50.0  20670  -60.9  -88.9      1   0.00    140     18  499.5  499.6  499.5
   49.0  20796  -60.7  -89.0      1   0.00    100     18  502.9  502.9  502.9
   47.9  20937  -60.5  -89.0      1   0.00     95     16  506.7  506.7  506.7
   47.0  21055  -59.9  -89.1      1   0.00     90     15  510.9  510.9  510.9
   45.0  21327  -58.5  -89.3      1   0.00    105     15  520.6  520.6  520.6
   44.7  21369  -58.3  -89.3      1   0.00    104     14  522.1  522.1  522.1
   43.0  21613  -58.0  -89.4      1   0.00     95     11  528.6  528.6  528.6
   42.0  21761  -57.9  -89.4      1   0.00    105      9  532.6  532.6  532.6
   40.0  22068  -57.5  -89.5      1   0.00    115     12  541.0  541.0  541.0
   38.0  22393  -56.1  -88.2      1   0.00    135     19  552.4  552.4  552.4
   37.0  22562  -55.4  -87.4      1   0.01    125     31  558.4  558.5  558.4
   36.8  22597  -55.3  -87.3      1   0.01    124     31  559.6  559.7  559.6
   35.0  22916  -55.8  -87.8      1   0.01    110     35  566.5  566.5  566.5
   33.8  23138  -56.1  -88.1      1   0.01    107     35  571.3  571.4  571.3
   31.9  23507  -53.7  -86.7      1   0.01    101     35  587.2  587.3  587.2
   30.1  23879  -54.7  -86.7      1   0.01     95     35  594.4  594.4  594.4
   30.0  23900  -54.5  -86.5      1   0.01     95     35  595.5  595.5  595.5
   28.9  24140  -52.5  -85.5      1   0.01     95     39  607.4  607.5  607.4
