Stationidentifier,YBBN
Stationnumber,94578
Observationtime,120728/0000
Stationlatitude,-27.38
Stationlongitude,153.13
Stationelevation,5.0
Showalterindex,13.96
Liftedindex,12.77
LIFTcomputedusingvirtualtemperature,12.67
SWEATindex,240.74
Kindex,-7.90
Crosstotalsindex,7.90
Verticaltotalsindex,20.90
Totalstotalsindex,28.80
ConvectiveAvailablePotentialEnergy,0.00
CAPEusingvirtualtemperature,0.00
ConvectiveInhibition,0.00
CINSusingvirtualtemperature,0.00
BulkRichardsonNumber,0.00
BulkRichardsonNumberusingCAPV,0.00
Temp[K]oftheLiftedCondensationLevel,273.18
Pres[hPa]oftheLiftedCondensationLevel,849.50
Meanmixedlayerpotentialtemperature,286.22
Meanmixedlayermixingratio,4.54
1000hPato500hPathickness,5464.00
Precipitablewater[mm]forentiresounding,9.20
