PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1020.0,5,17.0,6.0,48,5.78,200,6,288.5,305.2,289.5
1003.0,150,15.4,3.4,45,4.89,204,9,288.3,302.5,289.2
1000.0,176,15.6,3.6,45,4.98,205,10,288.8,303.2,289.6
994.0,227,16.6,2.6,39,4.66,206,10,290.2,303.9,291.1
950.0,611,14.6,-1.4,33,3.65,212,9,292.0,302.9,292.6
929.0,799,12.9,-2.2,35,3.51,215,9,292.2,302.7,292.8
925.0,835,12.6,-2.4,35,3.48,215,9,292.2,302.6,292.8
850.0,1537,7.4,-5.6,39,2.98,250,10,293.9,303.0,294.4
843.0,1604,6.9,-6.0,40,2.92,255,10,294.0,302.9,294.6
785.0,2185,2.4,-9.1,43,2.47,295,14,295.3,302.9,295.7
768.0,2363,1.0,-10.0,44,2.34,293,15,295.6,302.9,296.1
751.0,2542,0.1,-13.8,34,1.76,290,17,296.5,302.1,296.8
727.0,2802,-1.3,-19.3,24,1.15,296,13,297.8,301.5,298.0
714.0,2946,-1.1,-24.8,15,0.72,300,11,299.5,302.0,299.7
700.0,3104,-0.9,-30.9,8,0.42,285,9,301.5,302.9,301.5
698.0,3127,-0.9,-30.9,8,0.42,284,9,301.7,303.2,301.8
665.0,3508,-3.2,-35.6,6,0.28,260,8,303.3,304.4,303.4
607.0,4227,-7.5,-44.5,3,0.12,277,14,306.4,306.8,306.4
536.0,5172,-15.6,-50.0,3,0.07,300,22,307.8,308.1,307.8
500.0,5700,-20.1,-53.1,4,0.06,290,26,308.5,308.7,308.5
441.0,6617,-28.5,-52.5,8,0.07,275,34,309.1,309.4,309.1
424.0,6896,-30.6,-52.2,10,0.07,270,36,309.9,310.2,309.9
400.0,7310,-33.7,-51.7,15,0.08,275,40,311.1,311.4,311.1
317.0,8897,-46.5,-66.5,8,0.02,271,38,314.7,314.8,314.7
300.0,9260,-49.3,-61.3,23,0.03,270,38,315.8,315.9,315.8
280.0,9707,-52.3,-61.3,33,0.04,275,40,317.7,317.9,317.7
272.0,9895,-50.9,-69.9,9,0.01,275,41,322.4,322.4,322.4
262.0,10137,-51.4,-71.8,7,0.01,275,43,325.1,325.1,325.1
250.0,10440,-52.1,-74.1,5,0.01,270,42,328.5,328.5,328.5
231.0,10949,-53.1,-76.1,4,0.01,258,41,334.5,334.5,334.5
211.0,11534,-51.7,-81.6,2,0.00,245,40,345.4,345.4,345.4
200.0,11880,-50.9,-84.9,1,0.00,255,46,352.0,352.0,352.0
199.0,11913,-50.9,-84.9,1,0.00,255,46,352.5,352.5,352.5
177.0,12670,-52.5,-85.7,1,0.00,250,45,361.9,361.9,361.9
169.0,12969,-53.1,-85.9,1,0.00,265,44,365.7,365.7,365.7
150.0,13740,-54.7,-86.7,1,0.00,265,55,375.6,375.6,375.6
145.0,13957,-54.7,-86.7,1,0.00,269,51,379.3,379.3,379.3
144.0,14001,-54.9,-86.8,1,0.00,270,50,379.7,379.7,379.7
134.0,14459,-57.0,-88.4,1,0.00,255,45,383.9,383.9,383.9
127.0,14800,-58.5,-89.5,1,0.00,275,45,387.1,387.1,387.1
126.0,14850,-58.7,-89.7,1,0.00,275,47,387.6,387.6,387.6
117.0,15315,-59.4,-89.8,1,0.00,255,48,394.6,394.6,394.6
111.0,15646,-59.9,-89.9,1,0.00,268,50,399.6,399.6,399.6
110.0,15702,-59.9,-89.9,1,0.00,270,50,400.8,400.8,400.8
100.0,16300,-59.3,-90.3,1,0.00,255,48,412.9,412.9,412.9
94.0,16687,-58.6,-89.6,1,0.00,250,32,421.6,421.7,421.6
91.7,16842,-58.3,-89.3,1,0.00,265,27,425.2,425.2,425.2
91.0,16889,-58.6,-89.3,1,0.00,270,25,425.6,425.6,425.6
88.0,17098,-59.7,-89.4,1,0.00,295,30,427.5,427.5,427.5
86.9,17177,-60.1,-89.4,1,0.00,294,31,428.2,428.2,428.2
79.8,17708,-58.5,-89.5,1,0.00,289,37,442.0,442.0,442.0
74.3,18152,-61.5,-89.7,1,0.00,285,42,444.8,444.8,444.8
70.0,18520,-61.5,-89.8,1,0.00,270,31,452.5,452.5,452.5
68.0,18700,-61.9,-89.8,1,0.00,270,30,455.4,455.4,455.4
59.6,19523,-58.1,-90.1,1,0.00,272,25,481.4,481.4,481.4
50.0,20630,-58.3,-89.3,1,0.00,275,19,505.7,505.7,505.7
30.0,23840,-58.9,-89.9,1,0.00,40,11,583.5,583.5,583.5
24.5,25131,-51.7,-84.7,1,0.01,72,10,639.0,639.1,639.0
20.0,26450,-50.1,-84.1,1,0.02,105,8,682.1,682.2,682.1
17.1,27474,-49.7,-83.7,1,0.02,,,714.6,714.8,714.6
